[Train] Epoch:[0/100]	 loss=0.03243	 acc=0.072
[Train] Epoch:[1/100]	 loss=0.02721	 acc=0.159
[Train] Epoch:[2/100]	 loss=0.02339	 acc=0.243
[Train] Epoch:[3/100]	 loss=0.02037	 acc=0.322
[Train] Epoch:[4/100]	 loss=0.01799	 acc=0.387
[Train] Epoch:[5/100]	 loss=0.01622	 acc=0.437
[Train] Epoch:[6/100]	 loss=0.01489	 acc=0.475
[Train] Epoch:[7/100]	 loss=0.01380	 acc=0.510
[Train] Epoch:[8/100]	 loss=0.01290	 acc=0.537
[Train] Epoch:[9/100]	 loss=0.01209	 acc=0.561
[Train] Epoch:[10/100]	 loss=0.01134	 acc=0.583
[Train] Epoch:[11/100]	 loss=0.01072	 acc=0.605
[Train] Epoch:[12/100]	 loss=0.01020	 acc=0.622
[Train] Epoch:[13/100]	 loss=0.00968	 acc=0.638
[Train] Epoch:[14/100]	 loss=0.00926	 acc=0.653
[Train] Epoch:[15/100]	 loss=0.00881	 acc=0.667
[Train] Epoch:[16/100]	 loss=0.00844	 acc=0.680
[Train] Epoch:[17/100]	 loss=0.00812	 acc=0.694
[Train] Epoch:[18/100]	 loss=0.00777	 acc=0.704
[Train] Epoch:[19/100]	 loss=0.00749	 acc=0.713
[Train] Epoch:[20/100]	 loss=0.00716	 acc=0.721
[Train] Epoch:[21/100]	 loss=0.00701	 acc=0.729
[Train] Epoch:[22/100]	 loss=0.00669	 acc=0.741
[Train] Epoch:[23/100]	 loss=0.00642	 acc=0.749
[Train] Epoch:[24/100]	 loss=0.00628	 acc=0.755
[Train] Epoch:[25/100]	 loss=0.00609	 acc=0.759
[Train] Epoch:[26/100]	 loss=0.00587	 acc=0.769
[Train] Epoch:[27/100]	 loss=0.00568	 acc=0.774
[Train] Epoch:[28/100]	 loss=0.00545	 acc=0.783
[Train] Epoch:[29/100]	 loss=0.00535	 acc=0.786
[Train] Epoch:[30/100]	 loss=0.00511	 acc=0.795
[Train] Epoch:[31/100]	 loss=0.00508	 acc=0.796
[Train] Epoch:[32/100]	 loss=0.00490	 acc=0.803
[Train] Epoch:[33/100]	 loss=0.00480	 acc=0.807
[Train] Epoch:[34/100]	 loss=0.00468	 acc=0.812
[Train] Epoch:[35/100]	 loss=0.00456	 acc=0.817
[Train] Epoch:[36/100]	 loss=0.00445	 acc=0.819
[Train] Epoch:[37/100]	 loss=0.00436	 acc=0.824
[Train] Epoch:[38/100]	 loss=0.00422	 acc=0.828
