[Train] Epoch:[0/50]	 loss=0.01987	 acc=0.639
[Train] Epoch:[1/50]	 loss=0.01733	 acc=0.678
[Train] Epoch:[2/50]	 loss=0.01560	 acc=0.706
[Train] Epoch:[3/50]	 loss=0.01438	 acc=0.728
[Train] Epoch:[4/50]	 loss=0.01343	 acc=0.743
[Train] Epoch:[5/50]	 loss=0.01268	 acc=0.755
[Train] Epoch:[6/50]	 loss=0.01190	 acc=0.768
[Train] Epoch:[7/50]	 loss=0.01139	 acc=0.777
[Train] Epoch:[8/50]	 loss=0.01079	 acc=0.787
[Train] Epoch:[9/50]	 loss=0.01029	 acc=0.796
[Train] Epoch:[10/50]	 loss=0.00987	 acc=0.803
[Train] Epoch:[11/50]	 loss=0.00945	 acc=0.813
[Train] Epoch:[12/50]	 loss=0.00907	 acc=0.819
[Train] Epoch:[13/50]	 loss=0.00874	 acc=0.828
[Train] Epoch:[14/50]	 loss=0.00846	 acc=0.831
[Train] Epoch:[15/50]	 loss=0.00798	 acc=0.839
[Train] Epoch:[16/50]	 loss=0.00782	 acc=0.843
[Train] Epoch:[17/50]	 loss=0.00773	 acc=0.843
[Train] Epoch:[18/50]	 loss=0.00754	 acc=0.847
[Train] Epoch:[19/50]	 loss=0.00722	 acc=0.855
[Train] Epoch:[20/50]	 loss=0.00711	 acc=0.854
[Train] Epoch:[21/50]	 loss=0.00685	 acc=0.862
[Train] Epoch:[22/50]	 loss=0.00671	 acc=0.865
[Train] Epoch:[23/50]	 loss=0.00646	 acc=0.869
[Train] Epoch:[24/50]	 loss=0.00633	 acc=0.872
[Train] Epoch:[25/50]	 loss=0.00644	 acc=0.868
[Train] Epoch:[26/50]	 loss=0.00617	 acc=0.874
[Train] Epoch:[27/50]	 loss=0.00597	 acc=0.878
[Train] Epoch:[28/50]	 loss=0.00590	 acc=0.880
[Train] Epoch:[29/50]	 loss=0.00596	 acc=0.878
[Train] Epoch:[30/50]	 loss=0.00573	 acc=0.882
[Train] Epoch:[31/50]	 loss=0.00573	 acc=0.883
[Train] Epoch:[32/50]	 loss=0.00558	 acc=0.886
[Train] Epoch:[33/50]	 loss=0.00548	 acc=0.887
[Train] Epoch:[34/50]	 loss=0.00555	 acc=0.887
[Train] Epoch:[35/50]	 loss=0.00535	 acc=0.890
[Train] Epoch:[36/50]	 loss=0.00527	 acc=0.891
[Train] Epoch:[37/50]	 loss=0.00521	 acc=0.892
[Train] Epoch:[38/50]	 loss=0.00519	 acc=0.894
[Train] Epoch:[39/50]	 loss=0.00516	 acc=0.894
[Train] Epoch:[40/50]	 loss=0.00514	 acc=0.895
[Train] Epoch:[41/50]	 loss=0.00535	 acc=0.890
[Train] Epoch:[42/50]	 loss=0.00483	 acc=0.902
[Train] Epoch:[43/50]	 loss=0.00494	 acc=0.900
[Train] Epoch:[44/50]	 loss=0.00487	 acc=0.900
[Train] Epoch:[45/50]	 loss=0.00489	 acc=0.900
[Train] Epoch:[46/50]	 loss=0.00475	 acc=0.903
[Train] Epoch:[47/50]	 loss=0.00471	 acc=0.903
[Train] Epoch:[48/50]	 loss=0.00481	 acc=0.901
[Train] Epoch:[49/50]	 loss=0.00473	 acc=0.903
