[Train] Epoch:[25/50]	 loss=0.00111	 acc=0.951
[Train] Epoch:[26/50]	 loss=0.00112	 acc=0.951
[Train] Epoch:[27/50]	 loss=0.00107	 acc=0.953
[Train] Epoch:[28/50]	 loss=0.00106	 acc=0.952
[Train] Epoch:[29/50]	 loss=0.00106	 acc=0.952
[Train] Epoch:[30/50]	 loss=0.00104	 acc=0.954
[Train] Epoch:[31/50]	 loss=0.00105	 acc=0.953
[Train] Epoch:[32/50]	 loss=0.00101	 acc=0.955
[Train] Epoch:[33/50]	 loss=0.00102	 acc=0.953
[Train] Epoch:[34/50]	 loss=0.00100	 acc=0.956
[Train] Epoch:[35/50]	 loss=0.00105	 acc=0.954
[Train] Epoch:[36/50]	 loss=0.00099	 acc=0.956
[Train] Epoch:[37/50]	 loss=0.00097	 acc=0.957
[Train] Epoch:[38/50]	 loss=0.00097	 acc=0.956
[Train] Epoch:[39/50]	 loss=0.00098	 acc=0.956
[Train] Epoch:[40/50]	 loss=0.00097	 acc=0.956
[Train] Epoch:[41/50]	 loss=0.00093	 acc=0.959
[Train] Epoch:[42/50]	 loss=0.00098	 acc=0.956
[Train] Epoch:[43/50]	 loss=0.00097	 acc=0.957
[Train] Epoch:[44/50]	 loss=0.00094	 acc=0.959
[Train] Epoch:[45/50]	 loss=0.00094	 acc=0.958
[Train] Epoch:[46/50]	 loss=0.00095	 acc=0.957
[Train] Epoch:[47/50]	 loss=0.00095	 acc=0.958
[Train] Epoch:[48/50]	 loss=0.00092	 acc=0.960
[Train] Epoch:[49/50]	 loss=0.00091	 acc=0.959
