[Train] Epoch:[0/50]	 loss=0.00217	 acc=0.906
[Train] Epoch:[1/50]	 loss=0.00195	 acc=0.915
[Train] Epoch:[2/50]	 loss=0.00170	 acc=0.926
[Train] Epoch:[3/50]	 loss=0.00162	 acc=0.929
[Train] Epoch:[4/50]	 loss=0.00154	 acc=0.932
[Train] Epoch:[5/50]	 loss=0.00140	 acc=0.940
[Train] Epoch:[6/50]	 loss=0.00136	 acc=0.940
[Train] Epoch:[7/50]	 loss=0.00131	 acc=0.944
[Train] Epoch:[8/50]	 loss=0.00123	 acc=0.945
[Train] Epoch:[9/50]	 loss=0.00120	 acc=0.947
[Train] Epoch:[10/50]	 loss=0.00116	 acc=0.949
[Train] Epoch:[11/50]	 loss=0.00115	 acc=0.949
[Train] Epoch:[12/50]	 loss=0.00111	 acc=0.951
[Train] Epoch:[13/50]	 loss=0.00113	 acc=0.949
[Train] Epoch:[14/50]	 loss=0.00103	 acc=0.955
[Train] Epoch:[15/50]	 loss=0.00106	 acc=0.953
[Train] Epoch:[16/50]	 loss=0.00107	 acc=0.953
[Train] Epoch:[17/50]	 loss=0.00103	 acc=0.955
[Train] Epoch:[18/50]	 loss=0.00096	 acc=0.959
[Train] Epoch:[19/50]	 loss=0.00093	 acc=0.960
[Train] Epoch:[20/50]	 loss=0.00098	 acc=0.957
[Train] Epoch:[21/50]	 loss=0.00096	 acc=0.958
[Train] Epoch:[22/50]	 loss=0.00096	 acc=0.958
[Train] Epoch:[23/50]	 loss=0.00090	 acc=0.960
[Train] Epoch:[24/50]	 loss=0.00093	 acc=0.959
[Train] Epoch:[25/50]	 loss=0.00092	 acc=0.961
[Train] Epoch:[26/50]	 loss=0.00087	 acc=0.962
[Train] Epoch:[27/50]	 loss=0.00088	 acc=0.961
[Train] Epoch:[28/50]	 loss=0.00081	 acc=0.965
[Train] Epoch:[29/50]	 loss=0.00087	 acc=0.962
[Train] Epoch:[30/50]	 loss=0.00085	 acc=0.963
[Train] Epoch:[31/50]	 loss=0.00085	 acc=0.963
[Train] Epoch:[32/50]	 loss=0.00085	 acc=0.962
[Train] Epoch:[33/50]	 loss=0.00085	 acc=0.962
[Train] Epoch:[34/50]	 loss=0.00082	 acc=0.964
[Train] Epoch:[35/50]	 loss=0.00080	 acc=0.964
[Train] Epoch:[36/50]	 loss=0.00079	 acc=0.965
[Train] Epoch:[37/50]	 loss=0.00085	 acc=0.962
[Train] Epoch:[38/50]	 loss=0.00077	 acc=0.966
[Train] Epoch:[39/50]	 loss=0.00080	 acc=0.964
[Train] Epoch:[40/50]	 loss=0.00078	 acc=0.966
[Train] Epoch:[41/50]	 loss=0.00076	 acc=0.967
[Train] Epoch:[42/50]	 loss=0.00076	 acc=0.966
[Train] Epoch:[43/50]	 loss=0.00075	 acc=0.968
[Train] Epoch:[44/50]	 loss=0.00075	 acc=0.966
[Train] Epoch:[45/50]	 loss=0.00079	 acc=0.965
[Train] Epoch:[46/50]	 loss=0.00075	 acc=0.967
[Train] Epoch:[47/50]	 loss=0.00075	 acc=0.967
[Train] Epoch:[48/50]	 loss=0.00078	 acc=0.967
[Train] Epoch:[49/50]	 loss=0.00076	 acc=0.966
