[Train] Epoch:[61/100]	 loss=0.00044	 acc=0.981
[Val] Epoch:[61/100]	best_acc=0.837, ckpt saved
[Train] Epoch:[62/100]	 loss=0.00039	 acc=0.983
[Val] Epoch:[62/100]	best_acc=0.857, ckpt saved
[Train] Epoch:[63/100]	 loss=0.00029	 acc=0.987
[Train] Epoch:[64/100]	 loss=0.00037	 acc=0.984
[Train] Epoch:[65/100]	 loss=0.00033	 acc=0.986
[Train] Epoch:[66/100]	 loss=0.00030	 acc=0.987
[Train] Epoch:[67/100]	 loss=0.00035	 acc=0.985
[Train] Epoch:[68/100]	 loss=0.00033	 acc=0.986
[Train] Epoch:[69/100]	 loss=0.00027	 acc=0.989
[Train] Epoch:[70/100]	 loss=0.00034	 acc=0.986
[Train] Epoch:[71/100]	 loss=0.00036	 acc=0.985
[Train] Epoch:[72/100]	 loss=0.00030	 acc=0.987
[Train] Epoch:[73/100]	 loss=0.00037	 acc=0.984
[Train] Epoch:[74/100]	 loss=0.00028	 acc=0.988
[Train] Epoch:[75/100]	 loss=0.00024	 acc=0.990
[Train] Epoch:[76/100]	 loss=0.00037	 acc=0.985
[Train] Epoch:[77/100]	 loss=0.00035	 acc=0.985
[Train] Epoch:[78/100]	 loss=0.00032	 acc=0.986
[Val] Epoch:[78/100]	best_acc=0.859, ckpt saved
[Train] Epoch:[79/100]	 loss=0.00027	 acc=0.989
[Train] Epoch:[80/100]	 loss=0.00035	 acc=0.985
[Train] Epoch:[81/100]	 loss=0.00032	 acc=0.986
[Train] Epoch:[82/100]	 loss=0.00029	 acc=0.987
[Train] Epoch:[83/100]	 loss=0.00032	 acc=0.987
[Train] Epoch:[84/100]	 loss=0.00033	 acc=0.986
[Train] Epoch:[85/100]	 loss=0.00025	 acc=0.989
[Train] Epoch:[86/100]	 loss=0.00026	 acc=0.989
[Train] Epoch:[87/100]	 loss=0.00034	 acc=0.986
[Train] Epoch:[88/100]	 loss=0.00030	 acc=0.987
[Train] Epoch:[89/100]	 loss=0.00028	 acc=0.988
[Train] Epoch:[90/100]	 loss=0.00029	 acc=0.988
[Train] Epoch:[91/100]	 loss=0.00028	 acc=0.988
[Train] Epoch:[92/100]	 loss=0.00035	 acc=0.985
[Train] Epoch:[93/100]	 loss=0.00023	 acc=0.990
[Train] Epoch:[94/100]	 loss=0.00026	 acc=0.990
[Train] Epoch:[95/100]	 loss=0.00036	 acc=0.985
[Train] Epoch:[96/100]	 loss=0.00029	 acc=0.988
[Train] Epoch:[97/100]	 loss=0.00023	 acc=0.990
[Train] Epoch:[98/100]	 loss=0.00034	 acc=0.985
[Train] Epoch:[99/100]	 loss=0.00027	 acc=0.989
