[Train] Epoch:[0/100]	 loss=0.02123	 acc=0.622
[Train] Epoch:[1/100]	 loss=0.01446	 acc=0.728
[Train] Epoch:[2/100]	 loss=0.01341	 acc=0.743
[Train] Epoch:[3/100]	 loss=0.01257	 acc=0.763
[Train] Epoch:[4/100]	 loss=0.01215	 acc=0.769
[Train] Epoch:[5/100]	 loss=0.01194	 acc=0.771
[Train] Epoch:[6/100]	 loss=0.01115	 acc=0.785
[Train] Epoch:[7/100]	 loss=0.01075	 acc=0.795
[Train] Epoch:[8/100]	 loss=0.01080	 acc=0.792
[Train] Epoch:[9/100]	 loss=0.01065	 acc=0.793
[Train] Epoch:[10/100]	 loss=0.01034	 acc=0.800
[Train] Epoch:[11/100]	 loss=0.00964	 acc=0.814
[Train] Epoch:[12/100]	 loss=0.01048	 acc=0.793
[Train] Epoch:[13/100]	 loss=0.00960	 acc=0.812
[Train] Epoch:[14/100]	 loss=0.00983	 acc=0.811
[Train] Epoch:[15/100]	 loss=0.00940	 acc=0.815
[Train] Epoch:[16/100]	 loss=0.00941	 acc=0.818
[Train] Epoch:[17/100]	 loss=0.00970	 acc=0.814
[Train] Epoch:[18/100]	 loss=0.00892	 acc=0.826
[Train] Epoch:[19/100]	 loss=0.00948	 acc=0.818
[Train] Epoch:[20/100]	 loss=0.00936	 acc=0.817
[Train] Epoch:[21/100]	 loss=0.00873	 acc=0.829
[Train] Epoch:[22/100]	 loss=0.00869	 acc=0.828
[Train] Epoch:[23/100]	 loss=0.00867	 acc=0.831
[Train] Epoch:[24/100]	 loss=0.00834	 acc=0.837
[Train] Epoch:[25/100]	 loss=0.00850	 acc=0.833
[Train] Epoch:[26/100]	 loss=0.00845	 acc=0.836
[Train] Epoch:[27/100]	 loss=0.00853	 acc=0.832
[Train] Epoch:[28/100]	 loss=0.00806	 acc=0.843
[Train] Epoch:[29/100]	 loss=0.00813	 acc=0.840
[Train] Epoch:[30/100]	 loss=0.00785	 acc=0.845
[Train] Epoch:[31/100]	 loss=0.00831	 acc=0.837
[Train] Epoch:[32/100]	 loss=0.00815	 acc=0.840
[Train] Epoch:[33/100]	 loss=0.00815	 acc=0.840
[Train] Epoch:[34/100]	 loss=0.00786	 acc=0.846
[Train] Epoch:[35/100]	 loss=0.00812	 acc=0.841
[Train] Epoch:[36/100]	 loss=0.00767	 acc=0.848
[Train] Epoch:[37/100]	 loss=0.00765	 acc=0.850
[Train] Epoch:[38/100]	 loss=0.00789	 acc=0.846
[Train] Epoch:[39/100]	 loss=0.00768	 acc=0.848
[Train] Epoch:[40/100]	 loss=0.00749	 acc=0.852
[Train] Epoch:[41/100]	 loss=0.00763	 acc=0.851
[Train] Epoch:[42/100]	 loss=0.00748	 acc=0.855
[Train] Epoch:[43/100]	 loss=0.00793	 acc=0.847
[Train] Epoch:[44/100]	 loss=0.00779	 acc=0.848
[Train] Epoch:[45/100]	 loss=0.00763	 acc=0.851
[Train] Epoch:[46/100]	 loss=0.00727	 acc=0.859
[Train] Epoch:[47/100]	 loss=0.00739	 acc=0.858
[Train] Epoch:[48/100]	 loss=0.00747	 acc=0.852
[Train] Epoch:[49/100]	 loss=0.00743	 acc=0.856
[Train] Epoch:[50/100]	 loss=0.00740	 acc=0.860
[Train] Epoch:[51/100]	 loss=0.00731	 acc=0.857
[Train] Epoch:[52/100]	 loss=0.00753	 acc=0.853
[Train] Epoch:[53/100]	 loss=0.00727	 acc=0.857
[Train] Epoch:[54/100]	 loss=0.00718	 acc=0.860
[Train] Epoch:[55/100]	 loss=0.00730	 acc=0.857
[Train] Epoch:[56/100]	 loss=0.00696	 acc=0.860
[Train] Epoch:[57/100]	 loss=0.00729	 acc=0.858
[Train] Epoch:[58/100]	 loss=0.00718	 acc=0.859
[Train] Epoch:[59/100]	 loss=0.00716	 acc=0.860
[Train] Epoch:[60/100]	 loss=0.00719	 acc=0.861
[Train] Epoch:[61/100]	 loss=0.00728	 acc=0.857
[Train] Epoch:[62/100]	 loss=0.00710	 acc=0.864
[Train] Epoch:[63/100]	 loss=0.00737	 acc=0.856
[Train] Epoch:[64/100]	 loss=0.00692	 acc=0.862
[Train] Epoch:[65/100]	 loss=0.00663	 acc=0.868
[Train] Epoch:[66/100]	 loss=0.00726	 acc=0.856
[Train] Epoch:[67/100]	 loss=0.00725	 acc=0.858
[Train] Epoch:[68/100]	 loss=0.00699	 acc=0.864
[Train] Epoch:[69/100]	 loss=0.00671	 acc=0.869
[Train] Epoch:[70/100]	 loss=0.00702	 acc=0.862
[Train] Epoch:[71/100]	 loss=0.00726	 acc=0.857
[Train] Epoch:[72/100]	 loss=0.00690	 acc=0.865
[Train] Epoch:[73/100]	 loss=0.00692	 acc=0.864
[Train] Epoch:[74/100]	 loss=0.00671	 acc=0.868
[Train] Epoch:[75/100]	 loss=0.00687	 acc=0.865
[Train] Epoch:[76/100]	 loss=0.00653	 acc=0.870
[Train] Epoch:[77/100]	 loss=0.00661	 acc=0.870
[Train] Epoch:[78/100]	 loss=0.00670	 acc=0.866
[Train] Epoch:[79/100]	 loss=0.00664	 acc=0.868
[Train] Epoch:[80/100]	 loss=0.00687	 acc=0.866
[Train] Epoch:[81/100]	 loss=0.00691	 acc=0.864
[Train] Epoch:[82/100]	 loss=0.00684	 acc=0.864
[Train] Epoch:[83/100]	 loss=0.00639	 acc=0.873
[Train] Epoch:[84/100]	 loss=0.00672	 acc=0.868
[Train] Epoch:[85/100]	 loss=0.00680	 acc=0.867
[Train] Epoch:[86/100]	 loss=0.00680	 acc=0.864
[Train] Epoch:[87/100]	 loss=0.00683	 acc=0.866
[Train] Epoch:[88/100]	 loss=0.00697	 acc=0.865
[Train] Epoch:[89/100]	 loss=0.00670	 acc=0.868
[Train] Epoch:[90/100]	 loss=0.00655	 acc=0.872
[Train] Epoch:[91/100]	 loss=0.00702	 acc=0.862
[Train] Epoch:[92/100]	 loss=0.00661	 acc=0.870
[Train] Epoch:[93/100]	 loss=0.00664	 acc=0.871
[Train] Epoch:[94/100]	 loss=0.00645	 acc=0.872
[Train] Epoch:[95/100]	 loss=0.00633	 acc=0.877
[Train] Epoch:[96/100]	 loss=0.00707	 acc=0.862
[Train] Epoch:[97/100]	 loss=0.00651	 acc=0.872
[Train] Epoch:[98/100]	 loss=0.00622	 acc=0.877
[Train] Epoch:[99/100]	 loss=0.00667	 acc=0.868
