[Train] Epoch:[0/100]	 loss=0.02273	 acc=0.579
[Train] Epoch:[1/100]	 loss=0.01602	 acc=0.695
[Train] Epoch:[2/100]	 loss=0.01454	 acc=0.721
[Train] Epoch:[3/100]	 loss=0.01363	 acc=0.739
[Train] Epoch:[4/100]	 loss=0.01298	 acc=0.750
[Train] Epoch:[5/100]	 loss=0.01229	 acc=0.763
[Train] Epoch:[6/100]	 loss=0.01199	 acc=0.771
[Train] Epoch:[7/100]	 loss=0.01182	 acc=0.772
[Train] Epoch:[8/100]	 loss=0.01148	 acc=0.779
[Train] Epoch:[9/100]	 loss=0.01117	 acc=0.784
[Train] Epoch:[10/100]	 loss=0.01088	 acc=0.790
[Train] Epoch:[11/100]	 loss=0.01084	 acc=0.790
[Train] Epoch:[12/100]	 loss=0.01070	 acc=0.792
[Train] Epoch:[13/100]	 loss=0.01040	 acc=0.798
[Train] Epoch:[14/100]	 loss=0.01007	 acc=0.805
[Train] Epoch:[15/100]	 loss=0.00993	 acc=0.804
[Train] Epoch:[16/100]	 loss=0.00986	 acc=0.809
[Train] Epoch:[17/100]	 loss=0.00995	 acc=0.808
[Train] Epoch:[18/100]	 loss=0.00979	 acc=0.807
[Train] Epoch:[19/100]	 loss=0.00954	 acc=0.812
[Train] Epoch:[20/100]	 loss=0.00967	 acc=0.812
[Train] Epoch:[21/100]	 loss=0.00955	 acc=0.816
[Train] Epoch:[22/100]	 loss=0.00936	 acc=0.817
[Train] Epoch:[23/100]	 loss=0.00939	 acc=0.816
[Train] Epoch:[24/100]	 loss=0.00919	 acc=0.819
[Train] Epoch:[25/100]	 loss=0.00919	 acc=0.820
[Train] Epoch:[26/100]	 loss=0.00920	 acc=0.820
[Train] Epoch:[27/100]	 loss=0.00916	 acc=0.820
[Train] Epoch:[28/100]	 loss=0.00890	 acc=0.826
[Train] Epoch:[29/100]	 loss=0.00920	 acc=0.820
[Train] Epoch:[30/100]	 loss=0.00877	 acc=0.829
[Train] Epoch:[31/100]	 loss=0.00873	 acc=0.829
[Train] Epoch:[32/100]	 loss=0.00863	 acc=0.828
[Train] Epoch:[33/100]	 loss=0.00857	 acc=0.831
[Train] Epoch:[34/100]	 loss=0.00878	 acc=0.831
[Train] Epoch:[35/100]	 loss=0.00870	 acc=0.826
[Train] Epoch:[36/100]	 loss=0.00854	 acc=0.831
[Train] Epoch:[37/100]	 loss=0.00878	 acc=0.829
[Train] Epoch:[38/100]	 loss=0.00873	 acc=0.829
[Train] Epoch:[39/100]	 loss=0.00849	 acc=0.836
[Train] Epoch:[40/100]	 loss=0.00858	 acc=0.833
[Train] Epoch:[41/100]	 loss=0.00831	 acc=0.837
[Train] Epoch:[42/100]	 loss=0.00843	 acc=0.835
[Train] Epoch:[43/100]	 loss=0.00849	 acc=0.834
[Train] Epoch:[44/100]	 loss=0.00822	 acc=0.840
[Train] Epoch:[45/100]	 loss=0.00828	 acc=0.838
[Train] Epoch:[46/100]	 loss=0.00819	 acc=0.839
[Train] Epoch:[47/100]	 loss=0.00824	 acc=0.836
[Train] Epoch:[48/100]	 loss=0.00847	 acc=0.836
[Train] Epoch:[49/100]	 loss=0.00821	 acc=0.839
[Train] Epoch:[50/100]	 loss=0.00839	 acc=0.836
[Train] Epoch:[51/100]	 loss=0.00826	 acc=0.836
[Train] Epoch:[52/100]	 loss=0.00803	 acc=0.842
[Train] Epoch:[53/100]	 loss=0.00790	 acc=0.844
[Train] Epoch:[54/100]	 loss=0.00805	 acc=0.840
[Train] Epoch:[55/100]	 loss=0.00818	 acc=0.841
[Train] Epoch:[56/100]	 loss=0.00791	 acc=0.843
[Train] Epoch:[57/100]	 loss=0.00785	 acc=0.844
[Train] Epoch:[58/100]	 loss=0.00798	 acc=0.843
[Train] Epoch:[59/100]	 loss=0.00804	 acc=0.844
[Train] Epoch:[60/100]	 loss=0.00798	 acc=0.841
[Train] Epoch:[61/100]	 loss=0.00775	 acc=0.849
[Train] Epoch:[62/100]	 loss=0.00792	 acc=0.844
[Train] Epoch:[63/100]	 loss=0.00778	 acc=0.845
[Train] Epoch:[64/100]	 loss=0.00789	 acc=0.847
[Train] Epoch:[65/100]	 loss=0.00823	 acc=0.839
[Train] Epoch:[66/100]	 loss=0.00774	 acc=0.847
[Train] Epoch:[67/100]	 loss=0.00775	 acc=0.848
[Train] Epoch:[68/100]	 loss=0.00763	 acc=0.850
[Train] Epoch:[69/100]	 loss=0.00792	 acc=0.844
[Train] Epoch:[70/100]	 loss=0.00786	 acc=0.848
[Train] Epoch:[71/100]	 loss=0.00781	 acc=0.848
[Train] Epoch:[72/100]	 loss=0.00799	 acc=0.844
[Train] Epoch:[73/100]	 loss=0.00757	 acc=0.852
[Train] Epoch:[74/100]	 loss=0.00781	 acc=0.848
[Train] Epoch:[75/100]	 loss=0.00753	 acc=0.851
[Train] Epoch:[76/100]	 loss=0.00757	 acc=0.851
[Train] Epoch:[77/100]	 loss=0.00784	 acc=0.843
[Train] Epoch:[78/100]	 loss=0.00759	 acc=0.852
[Train] Epoch:[79/100]	 loss=0.00766	 acc=0.848
[Train] Epoch:[80/100]	 loss=0.00749	 acc=0.854
[Train] Epoch:[81/100]	 loss=0.00756	 acc=0.851
[Train] Epoch:[82/100]	 loss=0.00757	 acc=0.851
[Train] Epoch:[83/100]	 loss=0.00771	 acc=0.849
[Train] Epoch:[84/100]	 loss=0.00756	 acc=0.853
[Train] Epoch:[85/100]	 loss=0.00761	 acc=0.853
[Train] Epoch:[86/100]	 loss=0.00770	 acc=0.849
[Train] Epoch:[87/100]	 loss=0.00760	 acc=0.850
[Train] Epoch:[88/100]	 loss=0.00750	 acc=0.853
[Train] Epoch:[89/100]	 loss=0.00756	 acc=0.853
[Train] Epoch:[90/100]	 loss=0.00772	 acc=0.851
[Train] Epoch:[91/100]	 loss=0.00714	 acc=0.859
[Train] Epoch:[92/100]	 loss=0.00736	 acc=0.857
[Train] Epoch:[93/100]	 loss=0.00780	 acc=0.847
[Train] Epoch:[94/100]	 loss=0.00732	 acc=0.858
[Train] Epoch:[95/100]	 loss=0.00751	 acc=0.852
[Train] Epoch:[96/100]	 loss=0.00759	 acc=0.850
[Train] Epoch:[97/100]	 loss=0.00775	 acc=0.848
[Train] Epoch:[98/100]	 loss=0.00746	 acc=0.854
[Train] Epoch:[99/100]	 loss=0.00754	 acc=0.853
