[Train] Epoch:[0/100]	 loss=0.00870	 acc=0.679
[Train] Epoch:[1/100]	 loss=0.00661	 acc=0.749
[Train] Epoch:[2/100]	 loss=0.00594	 acc=0.773
[Train] Epoch:[3/100]	 loss=0.00550	 acc=0.790
[Train] Epoch:[4/100]	 loss=0.00527	 acc=0.793
[Train] Epoch:[5/100]	 loss=0.00516	 acc=0.798
[Train] Epoch:[6/100]	 loss=0.00516	 acc=0.803
[Train] Epoch:[7/100]	 loss=0.00490	 acc=0.811
[Train] Epoch:[8/100]	 loss=0.00492	 acc=0.809
[Train] Epoch:[9/100]	 loss=0.00480	 acc=0.815
[Train] Epoch:[10/100]	 loss=0.00479	 acc=0.814
[Train] Epoch:[11/100]	 loss=0.00482	 acc=0.813
[Train] Epoch:[12/100]	 loss=0.00468	 acc=0.820
[Train] Epoch:[13/100]	 loss=0.00460	 acc=0.824
[Train] Epoch:[14/100]	 loss=0.00466	 acc=0.819
[Train] Epoch:[15/100]	 loss=0.00458	 acc=0.826
[Train] Epoch:[16/100]	 loss=0.00450	 acc=0.828
[Train] Epoch:[17/100]	 loss=0.00449	 acc=0.827
[Train] Epoch:[18/100]	 loss=0.00453	 acc=0.825
[Train] Epoch:[19/100]	 loss=0.00436	 acc=0.829
[Train] Epoch:[20/100]	 loss=0.00436	 acc=0.831
[Train] Epoch:[21/100]	 loss=0.00436	 acc=0.832
[Train] Epoch:[22/100]	 loss=0.00433	 acc=0.833
[Train] Epoch:[23/100]	 loss=0.00421	 acc=0.836
[Train] Epoch:[24/100]	 loss=0.00419	 acc=0.838
[Train] Epoch:[25/100]	 loss=0.00419	 acc=0.836
[Train] Epoch:[26/100]	 loss=0.00420	 acc=0.837
[Train] Epoch:[27/100]	 loss=0.00413	 acc=0.842
[Train] Epoch:[28/100]	 loss=0.00419	 acc=0.840
[Train] Epoch:[29/100]	 loss=0.00407	 acc=0.841
[Train] Epoch:[30/100]	 loss=0.00402	 acc=0.843
[Train] Epoch:[31/100]	 loss=0.00407	 acc=0.841
[Train] Epoch:[32/100]	 loss=0.00403	 acc=0.844
[Train] Epoch:[33/100]	 loss=0.00391	 acc=0.850
[Train] Epoch:[34/100]	 loss=0.00393	 acc=0.848
[Train] Epoch:[35/100]	 loss=0.00397	 acc=0.846
[Train] Epoch:[36/100]	 loss=0.00398	 acc=0.847
[Train] Epoch:[37/100]	 loss=0.00379	 acc=0.853
[Train] Epoch:[38/100]	 loss=0.00396	 acc=0.849
[Train] Epoch:[39/100]	 loss=0.00387	 acc=0.852
[Train] Epoch:[40/100]	 loss=0.00392	 acc=0.847
[Train] Epoch:[41/100]	 loss=0.00386	 acc=0.850
[Train] Epoch:[42/100]	 loss=0.00385	 acc=0.851
[Train] Epoch:[43/100]	 loss=0.00386	 acc=0.849
[Train] Epoch:[44/100]	 loss=0.00376	 acc=0.853
[Train] Epoch:[45/100]	 loss=0.00375	 acc=0.855
[Train] Epoch:[46/100]	 loss=0.00368	 acc=0.856
[Train] Epoch:[47/100]	 loss=0.00366	 acc=0.860
