[Train] Epoch:[57/110]	 loss=0.00127	 acc=0.947
[Val] Epoch:[57/110]	best_acc=0.814, ckpt saved
[Train] Epoch:[58/110]	 loss=0.00082	 acc=0.968
[Val] Epoch:[58/110]	best_acc=0.819, ckpt saved
[Train] Epoch:[59/110]	 loss=0.00055	 acc=0.979
[Val] Epoch:[59/110]	best_acc=0.820, ckpt saved
[Train] Epoch:[60/110]	 loss=0.00058	 acc=0.977
[Train] Epoch:[61/110]	 loss=0.00090	 acc=0.963
[Train] Epoch:[62/110]	 loss=0.00075	 acc=0.971
[Train] Epoch:[63/110]	 loss=0.00068	 acc=0.973
[Train] Epoch:[64/110]	 loss=0.00062	 acc=0.975
[Train] Epoch:[65/110]	 loss=0.00049	 acc=0.981
[Train] Epoch:[66/110]	 loss=0.00068	 acc=0.973
[Train] Epoch:[67/110]	 loss=0.00065	 acc=0.974
[Train] Epoch:[68/110]	 loss=0.00054	 acc=0.978
[Train] Epoch:[69/110]	 loss=0.00062	 acc=0.975
[Train] Epoch:[70/110]	 loss=0.00052	 acc=0.980
[Train] Epoch:[71/110]	 loss=0.00061	 acc=0.976
[Train] Epoch:[72/110]	 loss=0.00057	 acc=0.977
[Train] Epoch:[73/110]	 loss=0.00053	 acc=0.980
[Train] Epoch:[74/110]	 loss=0.00064	 acc=0.975
[Train] Epoch:[75/110]	 loss=0.00051	 acc=0.979
[Train] Epoch:[76/110]	 loss=0.00044	 acc=0.983
[Train] Epoch:[77/110]	 loss=0.00040	 acc=0.984
[Train] Epoch:[78/110]	 loss=0.00060	 acc=0.976
[Train] Epoch:[79/110]	 loss=0.00065	 acc=0.974
[Train] Epoch:[80/110]	 loss=0.00044	 acc=0.982
[Train] Epoch:[81/110]	 loss=0.00041	 acc=0.984
[Train] Epoch:[82/110]	 loss=0.00056	 acc=0.978
[Train] Epoch:[83/110]	 loss=0.00055	 acc=0.978
[Train] Epoch:[84/110]	 loss=0.00044	 acc=0.983
[Train] Epoch:[85/110]	 loss=0.00045	 acc=0.982
[Train] Epoch:[86/110]	 loss=0.00049	 acc=0.980
[Train] Epoch:[87/110]	 loss=0.00053	 acc=0.979
[Train] Epoch:[88/110]	 loss=0.00060	 acc=0.976
[Train] Epoch:[89/110]	 loss=0.00043	 acc=0.983
[Train] Epoch:[90/110]	 loss=0.00037	 acc=0.985
[Train] Epoch:[91/110]	 loss=0.00058	 acc=0.977
[Train] Epoch:[92/110]	 loss=0.00049	 acc=0.981
[Train] Epoch:[93/110]	 loss=0.00040	 acc=0.984
[Train] Epoch:[94/110]	 loss=0.00046	 acc=0.981
[Train] Epoch:[95/110]	 loss=0.00041	 acc=0.984
[Train] Epoch:[96/110]	 loss=0.00056	 acc=0.977
[Train] Epoch:[97/110]	 loss=0.00044	 acc=0.983
[Train] Epoch:[98/110]	 loss=0.00038	 acc=0.985
[Train] Epoch:[99/110]	 loss=0.00039	 acc=0.984
[Train] Epoch:[100/110]	 loss=0.00041	 acc=0.984
