[Train] Epoch:[65/100]	 loss=0.00134	 acc=0.943
[Val] Epoch:[65/100]	best_acc=0.855, ckpt saved
[Train] Epoch:[66/100]	 loss=0.00052	 acc=0.982
[Val] Epoch:[66/100]	best_acc=0.865, ckpt saved
[Train] Epoch:[67/100]	 loss=0.00036	 acc=0.988
[Val] Epoch:[67/100]	best_acc=0.869, ckpt saved
[Train] Epoch:[68/100]	 loss=0.00031	 acc=0.989
[Train] Epoch:[69/100]	 loss=0.00039	 acc=0.986
[Train] Epoch:[70/100]	 loss=0.00078	 acc=0.969
[Train] Epoch:[71/100]	 loss=0.00074	 acc=0.970
[Train] Epoch:[72/100]	 loss=0.00058	 acc=0.977
[Train] Epoch:[73/100]	 loss=0.00052	 acc=0.979
[Train] Epoch:[74/100]	 loss=0.00054	 acc=0.977
[Train] Epoch:[75/100]	 loss=0.00053	 acc=0.979
[Train] Epoch:[76/100]	 loss=0.00054	 acc=0.978
[Train] Epoch:[77/100]	 loss=0.00053	 acc=0.978
[Train] Epoch:[78/100]	 loss=0.00058	 acc=0.977
[Train] Epoch:[79/100]	 loss=0.00055	 acc=0.977
[Train] Epoch:[80/100]	 loss=0.00050	 acc=0.979
[Train] Epoch:[81/100]	 loss=0.00045	 acc=0.983
[Train] Epoch:[82/100]	 loss=0.00050	 acc=0.980
[Train] Epoch:[83/100]	 loss=0.00056	 acc=0.977
[Train] Epoch:[84/100]	 loss=0.00050	 acc=0.980
[Train] Epoch:[85/100]	 loss=0.00060	 acc=0.976
[Train] Epoch:[86/100]	 loss=0.00052	 acc=0.979
[Train] Epoch:[87/100]	 loss=0.00049	 acc=0.980
[Train] Epoch:[88/100]	 loss=0.00043	 acc=0.983
[Train] Epoch:[89/100]	 loss=0.00041	 acc=0.984
[Train] Epoch:[90/100]	 loss=0.00043	 acc=0.983
[Train] Epoch:[91/100]	 loss=0.00062	 acc=0.974
[Train] Epoch:[92/100]	 loss=0.00049	 acc=0.980
[Train] Epoch:[93/100]	 loss=0.00049	 acc=0.979
[Train] Epoch:[94/100]	 loss=0.00048	 acc=0.981
[Train] Epoch:[95/100]	 loss=0.00040	 acc=0.984
[Train] Epoch:[96/100]	 loss=0.00047	 acc=0.981
[Train] Epoch:[97/100]	 loss=0.00047	 acc=0.981
[Train] Epoch:[98/100]	 loss=0.00048	 acc=0.981
[Train] Epoch:[99/100]	 loss=0.00048	 acc=0.981
