[Train] Epoch:[0/100]	 loss=0.07412	 acc=0.317
[Train] Epoch:[1/100]	 loss=0.05510	 acc=0.484
[Train] Epoch:[2/100]	 loss=0.04898	 acc=0.542
[Train] Epoch:[3/100]	 loss=0.04626	 acc=0.563
[Train] Epoch:[4/100]	 loss=0.04387	 acc=0.587
[Train] Epoch:[5/100]	 loss=0.04259	 acc=0.599
[Train] Epoch:[6/100]	 loss=0.04099	 acc=0.611
[Train] Epoch:[7/100]	 loss=0.03995	 acc=0.621
[Train] Epoch:[8/100]	 loss=0.03837	 acc=0.634
[Train] Epoch:[9/100]	 loss=0.03765	 acc=0.642
[Train] Epoch:[10/100]	 loss=0.03681	 acc=0.649
[Train] Epoch:[11/100]	 loss=0.03622	 acc=0.654
[Train] Epoch:[12/100]	 loss=0.03539	 acc=0.664
[Train] Epoch:[13/100]	 loss=0.03520	 acc=0.664
[Train] Epoch:[14/100]	 loss=0.03528	 acc=0.665
[Train] Epoch:[15/100]	 loss=0.03426	 acc=0.674
[Train] Epoch:[16/100]	 loss=0.03370	 acc=0.683
[Train] Epoch:[17/100]	 loss=0.03341	 acc=0.680
[Train] Epoch:[18/100]	 loss=0.03322	 acc=0.680
[Train] Epoch:[19/100]	 loss=0.03309	 acc=0.684
[Train] Epoch:[20/100]	 loss=0.03320	 acc=0.681
[Train] Epoch:[21/100]	 loss=0.03182	 acc=0.694
[Train] Epoch:[22/100]	 loss=0.03146	 acc=0.700
[Train] Epoch:[23/100]	 loss=0.03160	 acc=0.695
[Train] Epoch:[24/100]	 loss=0.03189	 acc=0.693
[Train] Epoch:[25/100]	 loss=0.03065	 acc=0.705
[Train] Epoch:[26/100]	 loss=0.03108	 acc=0.701
[Train] Epoch:[27/100]	 loss=0.03051	 acc=0.705
[Train] Epoch:[28/100]	 loss=0.03026	 acc=0.709
[Train] Epoch:[29/100]	 loss=0.03141	 acc=0.698
[Train] Epoch:[30/100]	 loss=0.02941	 acc=0.718
[Train] Epoch:[31/100]	 loss=0.02977	 acc=0.714
[Train] Epoch:[32/100]	 loss=0.02991	 acc=0.714
[Train] Epoch:[33/100]	 loss=0.02963	 acc=0.715
[Train] Epoch:[34/100]	 loss=0.02889	 acc=0.720
[Train] Epoch:[35/100]	 loss=0.03046	 acc=0.710
[Train] Epoch:[36/100]	 loss=0.02938	 acc=0.718
[Train] Epoch:[37/100]	 loss=0.02885	 acc=0.722
[Train] Epoch:[38/100]	 loss=0.02865	 acc=0.723
[Train] Epoch:[39/100]	 loss=0.02878	 acc=0.723
[Train] Epoch:[40/100]	 loss=0.02906	 acc=0.722
[Train] Epoch:[41/100]	 loss=0.02979	 acc=0.714
[Train] Epoch:[42/100]	 loss=0.02857	 acc=0.724
[Train] Epoch:[43/100]	 loss=0.02766	 acc=0.734
[Train] Epoch:[44/100]	 loss=0.02807	 acc=0.727
[Train] Epoch:[45/100]	 loss=0.02806	 acc=0.729
[Train] Epoch:[46/100]	 loss=0.02889	 acc=0.721
[Train] Epoch:[47/100]	 loss=0.02788	 acc=0.729
[Train] Epoch:[48/100]	 loss=0.02823	 acc=0.729
[Train] Epoch:[49/100]	 loss=0.02728	 acc=0.738
[Train] Epoch:[50/100]	 loss=0.02756	 acc=0.733
[Train] Epoch:[51/100]	 loss=0.02687	 acc=0.743
[Train] Epoch:[52/100]	 loss=0.02709	 acc=0.737
[Train] Epoch:[53/100]	 loss=0.02753	 acc=0.733
[Train] Epoch:[54/100]	 loss=0.02698	 acc=0.740
[Train] Epoch:[55/100]	 loss=0.02754	 acc=0.732
[Train] Epoch:[56/100]	 loss=0.02664	 acc=0.745
[Train] Epoch:[57/100]	 loss=0.02685	 acc=0.740
[Train] Epoch:[58/100]	 loss=0.02650	 acc=0.742
[Train] Epoch:[59/100]	 loss=0.02631	 acc=0.743
[Train] Epoch:[60/100]	 loss=0.02748	 acc=0.734
[Train] Epoch:[61/100]	 loss=0.02759	 acc=0.732
[Train] Epoch:[62/100]	 loss=0.02662	 acc=0.743
[Train] Epoch:[63/100]	 loss=0.02663	 acc=0.742
[Train] Epoch:[64/100]	 loss=0.02646	 acc=0.745
[Train] Epoch:[65/100]	 loss=0.02659	 acc=0.742
[Train] Epoch:[66/100]	 loss=0.02638	 acc=0.743
[Train] Epoch:[67/100]	 loss=0.02604	 acc=0.748
[Train] Epoch:[68/100]	 loss=0.02725	 acc=0.736
[Train] Epoch:[69/100]	 loss=0.02642	 acc=0.744
[Train] Epoch:[70/100]	 loss=0.02662	 acc=0.743
[Train] Epoch:[71/100]	 loss=0.02564	 acc=0.753
[Train] Epoch:[72/100]	 loss=0.02675	 acc=0.739
[Train] Epoch:[73/100]	 loss=0.02583	 acc=0.748
[Train] Epoch:[74/100]	 loss=0.02562	 acc=0.752
[Train] Epoch:[75/100]	 loss=0.02599	 acc=0.749
[Train] Epoch:[76/100]	 loss=0.02572	 acc=0.749
[Train] Epoch:[77/100]	 loss=0.02550	 acc=0.751
[Train] Epoch:[78/100]	 loss=0.02646	 acc=0.744
[Train] Epoch:[79/100]	 loss=0.02567	 acc=0.752
[Train] Epoch:[80/100]	 loss=0.02583	 acc=0.748
[Train] Epoch:[81/100]	 loss=0.02627	 acc=0.745
[Train] Epoch:[82/100]	 loss=0.02547	 acc=0.753
[Train] Epoch:[83/100]	 loss=0.02563	 acc=0.753
[Train] Epoch:[84/100]	 loss=0.02579	 acc=0.749
[Train] Epoch:[85/100]	 loss=0.02547	 acc=0.752
[Train] Epoch:[86/100]	 loss=0.02707	 acc=0.740
[Train] Epoch:[87/100]	 loss=0.02496	 acc=0.756
[Train] Epoch:[88/100]	 loss=0.02622	 acc=0.745
[Train] Epoch:[89/100]	 loss=0.02625	 acc=0.745
[Train] Epoch:[90/100]	 loss=0.02546	 acc=0.751
[Train] Epoch:[91/100]	 loss=0.02583	 acc=0.751
[Train] Epoch:[92/100]	 loss=0.02569	 acc=0.749
[Train] Epoch:[93/100]	 loss=0.02600	 acc=0.746
[Train] Epoch:[94/100]	 loss=0.02551	 acc=0.751
[Train] Epoch:[95/100]	 loss=0.02549	 acc=0.753
[Train] Epoch:[96/100]	 loss=0.02626	 acc=0.746
[Train] Epoch:[97/100]	 loss=0.02592	 acc=0.747
[Train] Epoch:[98/100]	 loss=0.02524	 acc=0.757
[Train] Epoch:[99/100]	 loss=0.02635	 acc=0.745
